time,latitude,longitude,depth,temperature
2016-06-26 00:00:00+00:00,27.413,128.6368,2.0,27.24
2016-06-26 00:00:00+00:00,27.413,128.6368,4.0,27.059
2016-06-26 00:00:00+00:00,27.413,128.6368,8.0,26.937
2016-06-26 00:00:00+00:00,27.413,128.6368,17.0,26.945
2016-06-26 00:00:00+00:00,27.413,128.6368,19.0,26.731
2016-06-26 00:00:00+00:00,27.413,128.6368,20.0,26.764
2016-06-26 00:00:00+00:00,27.413,128.6368,21.0,26.535
2016-06-26 00:00:00+00:00,27.413,128.6368,23.0,26.3
2016-06-26 00:00:00+00:00,27.413,128.6368,25.0,26.377
2016-06-26 00:00:00+00:00,27.413,128.6368,32.0,26.399
2016-06-26 08:00:00+00:00,27.42,128.6445,2.0,27.75
2016-06-26 08:00:00+00:00,27.42,128.6445,3.0,27.677
2016-06-26 08:00:00+00:00,27.42,128.6445,4.0,27.563
2016-06-26 08:00:00+00:00,27.42,128.6445,7.0,27.37
2016-06-26 08:00:00+00:00,27.42,128.6445,8.0,27.273
2016-06-26 08:00:00+00:00,27.42,128.6445,12.0,26.994
2016-06-26 08:00:00+00:00,27.42,128.6445,13.0,26.87
2016-06-26 08:00:00+00:00,27.42,128.6445,15.0,27.004
2016-06-26 08:00:00+00:00,27.42,128.6445,16.0,26.883
2016-06-26 08:00:00+00:00,27.42,128.6445,17.0,27.014
2016-06-26 12:00:00+00:00,27.415,128.6544,2.0,27.59
2016-06-26 12:00:00+00:00,27.415,128.6544,6.0,27.514
2016-06-26 12:00:00+00:00,27.415,128.6544,7.0,27.346
2016-06-26 12:00:00+00:00,27.415,128.6544,8.0,27.4
2016-06-26 12:00:00+00:00,27.415,128.6544,12.0,27.159
2016-06-26 12:00:00+00:00,27.415,128.6544,16.0,27.383
2016-06-26 12:00:00+00:00,27.415,128.6544,17.0,27.038
2016-06-26 12:00:00+00:00,27.415,128.6544,18.0,26.97
2016-06-26 12:00:00+00:00,27.415,128.6544,19.0,27.507
2016-06-26 12:00:00+00:00,27.415,128.6544,22.0,27.206
2016-06-26 16:00:00+00:00,27.4266,128.6716,2.0,27.31
2016-06-26 16:00:00+00:00,27.4266,128.6716,3.0,27.17
2016-06-26 16:00:00+00:00,27.4266,128.6716,4.0,27.202
2016-06-26 16:00:00+00:00,27.4266,128.6716,6.0,27.125
2016-06-26 16:00:00+00:00,27.4266,128.6716,7.0,27.013
2016-06-26 16:00:00+00:00,27.4266,128.6716,9.0,26.892
2016-06-26 16:00:00+00:00,27.4266,128.6716,10.0,26.81
2016-06-26 16:00:00+00:00,27.4266,128.6716,11.0,27.076
2016-06-26 16:00:00+00:00,27.4266,128.6716,13.0,27.11
2016-06-26 16:00:00+00:00,27.4266,128.6716,14.0,27.2
2016-06-26 20:00:00+00:00,27.4545,128.6681,2.0,27.12
2016-06-26 20:00:00+00:00,27.4545,128.6681,5.0,26.955
2016-06-26 20:00:00+00:00,27.4545,128.6681,6.0,26.99
2016-06-26 20:00:00+00:00,27.4545,128.6681,12.0,26.757
2016-06-26 20:00:00+00:00,27.4545,128.6681,13.0,26.568
2016-06-26 20:00:00+00:00,27.4545,128.6681,17.0,26.27
2016-06-26 20:00:00+00:00,27.4545,128.6681,18.0,26.02
2016-06-26 20:00:00+00:00,27.4545,128.6681,21.0,26.11
2016-06-26 20:00:00+00:00,27.4545,128.6681,22.0,26.822
2016-06-26 20:00:00+00:00,27.4545,128.6681,24.0,26.766
2016-06-27 00:00:00+00:00,27.4394,128.6748,2.0,27.82
2016-06-27 00:00:00+00:00,27.4394,128.6748,8.0,27.746
2016-06-27 00:00:00+00:00,27.4394,128.6748,14.0,27.4
2016-06-27 00:00:00+00:00,27.4394,128.6748,17.0,27.594
2016-06-27 00:00:00+00:00,27.4394,128.6748,19.0,27.486
2016-06-27 00:00:00+00:00,27.4394,128.6748,23.0,27.524
