time,latitude,longitude,depth,temperature
2017-06-20 12:00:00+00:00,27.3481,128.6411,2.0,24.84
2017-06-20 12:00:00+00:00,27.3481,128.6411,3.0,24.827
2017-06-20 12:00:00+00:00,27.3481,128.6411,4.0,24.74
2017-06-20 16:00:00+00:00,27.3478,128.6416,2.0,23.875
2017-06-20 16:00:00+00:00,27.3478,128.6416,3.0,23.88
2017-06-20 16:00:00+00:00,27.3478,128.6416,4.0,23.867
2017-06-20 16:00:00+00:00,27.3478,128.6416,5.0,23.869
2017-06-20 16:00:00+00:00,27.3478,128.6416,6.0,23.875
2017-06-20 16:00:00+00:00,27.3478,128.6416,7.0,23.671
2017-06-20 16:00:00+00:00,27.3478,128.6416,8.0,23.66
2017-06-20 20:00:00+00:00,27.3475,128.6421,2.0,23.972
2017-06-20 20:00:00+00:00,27.3475,128.6421,4.0,23.99
2017-06-20 20:00:00+00:00,27.3475,128.6421,5.0,23.982
2017-06-20 20:00:00+00:00,27.3475,128.6421,8.0,23.918
2017-06-20 20:00:00+00:00,27.3475,128.6421,9.0,23.909
2017-06-20 20:00:00+00:00,27.3475,128.6421,10.0,23.838
2017-06-20 20:00:00+00:00,27.3475,128.6421,12.0,23.647
2017-06-20 20:00:00+00:00,27.3475,128.6421,13.0,23.542
2017-06-20 20:00:00+00:00,27.3475,128.6421,14.0,23.507
2017-06-20 20:00:00+00:00,27.3475,128.6421,16.0,23.5
2017-06-23 00:00:00+00:00,27.389,128.6628,2.0,25.3
2017-06-23 00:00:00+00:00,27.389,128.6628,8.0,25.135
2017-06-23 00:00:00+00:00,27.389,128.6628,10.0,24.462
2017-06-23 00:00:00+00:00,27.389,128.6628,13.0,24.506
2017-06-23 00:00:00+00:00,27.389,128.6628,14.0,24.332
2017-06-23 00:00:00+00:00,27.389,128.6628,15.0,24.411
2017-06-23 00:00:00+00:00,27.389,128.6628,16.0,23.21
2017-06-23 00:00:00+00:00,27.389,128.6628,17.0,23.1
2017-06-23 00:00:00+00:00,27.389,128.6628,19.0,23.316
2017-06-23 00:00:00+00:00,27.389,128.6628,20.0,23.159
2017-06-30 20:00:00+00:00,27.3321,128.6953,2.0,24.61
2017-06-30 20:00:00+00:00,27.3321,128.6953,5.0,24.675
2017-06-30 20:00:00+00:00,27.3321,128.6953,6.0,24.644
2017-06-30 20:00:00+00:00,27.3321,128.6953,7.0,24.698
2017-06-30 20:00:00+00:00,27.3321,128.6953,8.0,24.834
2017-06-30 20:00:00+00:00,27.3321,128.6953,14.0,24.823
2017-06-30 20:00:00+00:00,27.3321,128.6953,15.0,24.89
2017-06-30 20:00:00+00:00,27.3321,128.6953,18.0,24.88
2017-06-30 20:00:00+00:00,27.3321,128.6953,19.0,24.758
2017-06-30 20:00:00+00:00,27.3321,128.6953,20.0,24.75
2017-07-01 08:00:00+00:00,27.3063,128.7979,2.0,26.763
2017-07-01 08:00:00+00:00,27.3063,128.7979,3.0,26.82
2017-07-01 08:00:00+00:00,27.3063,128.7979,4.0,26.806
2017-07-01 08:00:00+00:00,27.3063,128.7979,5.0,26.547
2017-07-01 08:00:00+00:00,27.3063,128.7979,6.0,26.443
2017-07-01 08:00:00+00:00,27.3063,128.7979,7.0,26.44
2017-07-04 12:00:00+00:00,27.3351,128.6673,2.0,27.24
2017-07-04 12:00:00+00:00,27.3351,128.6673,4.0,26.868
2017-07-04 12:00:00+00:00,27.3351,128.6673,10.0,26.778
2017-07-04 12:00:00+00:00,27.3351,128.6673,12.0,26.642
2017-07-04 12:00:00+00:00,27.3351,128.6673,13.0,26.431
2017-07-04 12:00:00+00:00,27.3351,128.6673,14.0,26.524
2017-07-04 12:00:00+00:00,27.3351,128.6673,15.0,26.351
2017-07-04 12:00:00+00:00,27.3351,128.6673,16.0,25.861
2017-07-04 12:00:00+00:00,27.3351,128.6673,17.0,25.572
2017-07-04 16:00:00+00:00,27.3396,128.6617,2.0,26.98
2017-07-04 16:00:00+00:00,27.3396,128.6617,3.0,27.013
2017-07-04 16:00:00+00:00,27.3396,128.6617,4.0,27.06
2017-07-04 20:00:00+00:00,27.3458,128.6534,2.0,26.83
2017-07-04 20:00:00+00:00,27.3458,128.6534,8.0,26.484
2017-07-04 20:00:00+00:00,27.3458,128.6534,10.0,26.079
2017-07-04 20:00:00+00:00,27.3458,128.6534,14.0,25.715
2017-07-04 20:00:00+00:00,27.3458,128.6534,18.0,24.905
2017-07-04 20:00:00+00:00,27.3458,128.6534,19.0,24.988
2017-07-04 20:00:00+00:00,27.3458,128.6534,20.0,24.825
2017-07-04 20:00:00+00:00,27.3458,128.6534,22.0,24.988
2017-07-04 20:00:00+00:00,27.3458,128.6534,24.0,24.268
2017-07-04 20:00:00+00:00,27.3458,128.6534,25.0,24.25
2017-07-05 08:00:00+00:00,27.3678,128.6339,2.0,27.34
2017-07-05 08:00:00+00:00,27.3678,128.6339,9.0,26.468
2017-07-05 08:00:00+00:00,27.3678,128.6339,11.0,26.661
2017-07-05 08:00:00+00:00,27.3678,128.6339,15.0,26.1
2017-07-05 08:00:00+00:00,27.3678,128.6339,18.0,25.228
2017-07-05 08:00:00+00:00,27.3678,128.6339,20.0,25.179
